rxn00001	0	(7930,-1)|(2937,-1)|(7934,2)|(6862,1)	diphosphate phosphohydrolase
rxn00002	1	(7930,-1)|(6862,-3)|(434,-1)|(2940,2)|(2938,2)	urea-1-carboxylate amidohydrolase
rxn00003	1	(2940,-1)|(4405,-1)|(7586,2)|(6862,1)	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)
rxn00004	0	(4762,-1)|(7586,2)	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)
rxn00006	1	(7582,-2)|(7930,2)|(7928,1)	hydrogen-peroxide:hydrogen-peroxide oxidoreductase
rxn00007	1	(7930,-1)|(7607,-1)|(7580,2)	alpha,alpha-trehalose glucohydrolase
rxn00009	1	(2566,-2)|(2937,1)|(6862,1)|(5760,1)	GTP:GTP guanylyltransferase
rxn00010	1	(7224,-2)|(6862,-1)|(2940,1)|(6987,1)	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)
rxn00011	1	(2940,-1)|(2575,-1)|(7586,1)|(3125,1)|(6862,1)	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)
rxn00012	0	(1863,-2)|(7580,1)|(5733,1)	sucrose:sucrose 1'-beta-D-fructosyltransferase
rxn00013	0	(6862,-2)|(6518,-2)|(7580,1)|(487,1)	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase
rxn00014	1	(7582,-1)|(6862,-2)|(987,-2)|(7930,2)|(5616,2)	ferrocytochrome-c:hydrogen-peroxide oxidoreductase
rxn00015	0	(979,-2)|(2938,1)|(5986,1)	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)
rxn00016	1	(7930,-1)|(4779,-1)|(5998,2)	chitobiose N-acetylglucosaminohydrolase
rxn00017	1	(7932,-2)|(5262,-2)|(7927,2)|(6862,2)|(8166,1)	hydroxylamine:NAD+ oxidoreductase
rxn00018	1	(7930,-1)|(2940,-1)|(1624,-1)|(6862,2)|(5269,2)	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)
rxn00019	0	(7928,-1)|(5334,-2)|(6862,2)|(1862,2)|(603,2)	2-Nitropropane:oxygen 2-oxidoreductase
rxn00020	1	(7930,-1)|(234,-1)|(6823,2)	cellobiose glucohydrolase
rxn00021	0	(6922,-1)|(7237,2)	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)
rxn00022	1	(7930,-1)|(602,-1)|(7580,2)	maltose glucohydrolase
rxn00023	0	(5616,-2)|(6549,-2)|(6862,2)|(987,2)|(5699,1)	thiosulfate:ferricytochrome-c oxidoreductase
rxn00024	1	(7928,-1)|(6867,-2)|(3277,2)	1,2-Benzenediol:oxygen oxidoreductase
rxn00025	1	(7928,-1)|(308,-1)|(4626,2)	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)
rxn00026	1	(7928,-1)|(4627,-1)|(7582,1)|(8101,1)	thiamine:oxygen 5-oxidoreductase
rxn00028	1	(7928,-1)|(2214,-2)|(7930,2)|(3104,2)	L-ascorbate:oxygen oxidoreductase
